ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q3160900,James Allen (New Zealand politician),1919-11-24,1920-04-28,,Q5393444
2,Q5393444,Ernest Lee,1920-05-17,1923-01-13,Q3160900,Q742508
3,Q742508,Francis Bell (New Zealand politician),1923-06-07,1926-01-18,Q5393444,Q8016191
4,Q8016191,William Nosworthy,1926-05-24,1928-08-24,Q742508,Q731342
5,Q731342,Gordon Coates,1928-08-25,1928-12-10,Q8016191,Q1371024
6,Q1371024,Joseph Ward,1928-12-10,1930-05-28,Q731342,Q775773
7,Q775773,George Forbes (New Zealand politician),1930-05-28,1935-12-06,Q1371024,Q1371015
8,Q1371015,Michael Joseph Savage,1935-12-06,1940-03-27,Q775773,Q5487850
9,Q5487850,Frank Langstone,1940-04-01,1942-12-21,Q1371015,Q1400226
10,Q1400226,Peter Fraser,1943-07-07,1949-12-13,Q5487850,Q1452846
11,Q1452846,Frederick Doidge,1949-12-13,1951-09-19,Q1400226,Q958022
12,Q958022,Clifton Webb (politician),1951-09-19,1954-11-26,Q1452846,Q984322
13,Q984322,Tom Macdonald (politician),1954-11-26,1957-12-12,Q958022,Q721770
14,Q721770,Walter Nash,1957-12-12,1960-12-12,Q984322,Q637012
15,Q637012,Keith Holyoake,1960-12-12,1972-12-08,Q721770,Q1237120
16,Q1237120,Norman Kirk,1972-12-08,1974-08-31,Q637012,Q862430
17,Q862430,Bill Rowling,1974-09-06,1975-12-12,Q1237120,Q461383
18,Q461383,Brian Talboys,1975-12-12,1981-12-11,Q862430,Q2549675
19,Q2549675,Warren Cooper,1981-12-11,1984-07-26,Q461383,Q367589
20,Q367589,David Lange,1984-07-26,1987-08-24,Q2549675,Q2176939
21,Q2176939,Russell Marshall,1987-08-24,1990-02-09,Q367589,Q558647
22,Q558647,Mike Moore (New Zealand politician),1990-02-09,1990-11-02,Q2176939,Q599938
23,Q599938,Don McKinnon,1990-11-02,1999-12-10,Q558647,Q597909
24,Q597909,Phil Goff,1999-12-10,2005-10-19,Q599938,Q1396178
25,Q1396178,Winston Peters,2005-10-19,2008-08-29,Q597909,Q180383
,Q180383,Helen Clark,2008-08-29,2008-11-19,Q1396178,Q58291
26,Q58291,Murray McCully,2008-11-19,2017-05-02,Q180383,Q4352603
27,Q4352603,Gerry Brownlee,2017-05-02,2017-10-26,Q58291,Q1396178
,Q1396178,Winston Peters,2017-10-26,,Q4352603,
